2026-04-06 00:57:10.218 | ERROR    | __main__:test_case_generation:46 | ❌ 案件生成失败: '"case_id"'
2026-04-06 15:08:05.717 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/status, 方法: GET
2026-04-06 15:08:05.719 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/investigate, 方法: POST
2026-04-06 15:08:05.721 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/decrypt, 方法: POST
2026-04-06 15:08:05.722 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/accuse, 方法: POST
2026-04-06 15:08:05.724 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/clues, 方法: GET
2026-04-06 15:08:05.725 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/send, 方法: POST
2026-04-06 15:08:05.727 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/mode, 方法: POST
2026-04-06 15:08:05.728 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/command, 方法: POST
2026-04-06 15:08:05.730 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/history, 方法: GET
2026-04-06 15:08:20.103 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/status, 方法: GET
2026-04-06 15:08:20.106 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/investigate, 方法: POST
2026-04-06 15:08:20.108 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/decrypt, 方法: POST
2026-04-06 15:08:20.109 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/accuse, 方法: POST
2026-04-06 15:08:20.111 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/clues, 方法: GET
2026-04-06 15:08:20.113 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/send, 方法: POST
2026-04-06 15:08:20.115 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/mode, 方法: POST
2026-04-06 15:08:20.116 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/command, 方法: POST
2026-04-06 15:08:20.118 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/history, 方法: GET
2026-04-06 15:10:53.106 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: AsyncCompletions.create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 15:10:53.106 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 案件生成失败: AsyncCompletions.create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 15:10:53.107 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: AsyncCompletions.create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 15:10:53.107 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 案件生成失败: AsyncCompletions.create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 15:21:49.334 | ERROR    | app.agents.case_generator_agent:generate_case_sync:171 | 案件生成失败: Completions.create() got an unexpected keyword argument 'enable_search'
2026-04-06 15:42:08.306 | ERROR    | app.agents.case_generator_agent:generate_case_sync:301 | 案件生成失败: %s
2026-04-06 15:43:17.149 | ERROR    | app.agents.case_generator_agent:generate_case_sync:393 | 案件生成失败: %s
2026-04-06 15:44:21.052 | ERROR    | app.agents.case_generator_agent:generate_case_sync:485 | 案件生成失败: %s
2026-04-06 15:45:16.183 | ERROR    | app.agents.case_generator_agent:generate_case_sync:503 | 案件生成失败: %s
2026-04-06 15:45:54.890 | ERROR    | app.agents.case_generator_agent:generate_case_sync:503 | 案件生成失败: %s
2026-04-06 15:49:50.750 | ERROR    | app.agents.case_generator_agent:generate_case_sync:208 | 案件生成失败: %s
2026-04-06 15:51:17.895 | ERROR    | app.agents.case_generator_agent:generate_case_sync:223 | 案件生成失败: %s
2026-04-06 15:55:35.135 | ERROR    | app.agents.case_generator_agent:generate_case_sync:223 | 案件生成失败: %s
2026-04-06 16:01:37.352 | ERROR    | app.agents.case_generator_agent:generate_case_sync:228 | 案件生成失败: %s
2026-04-06 16:20:34.521 | ERROR    | app.agents.case_generator_agent:generate_case:157 | 案件生成失败: %s
2026-04-06 16:20:34.521 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 案件生成失败: 400: 案件数据校验失败: 线索 c1 关联的嫌疑人 v001 不存在; 线索 c2 关联的嫌疑人 v001 不存在; 线索 c4 关联的嫌疑人 v001 不存在; 线索 c5 关联的嫌疑人 v001 不存在; 线索 c12 关联的嫌疑人 v001 不存在; 线索 c14 关联的嫌疑人 v001 不存在, 路径: /api/v1/game/new, 方法: POST
2026-04-06 21:56:55.572 | ERROR    | app.agents.case_generator_agent:generate_case:157 | 案件生成失败: %s
2026-04-06 21:56:55.575 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 案件生成失败: Connection error., 路径: /api/v1/game/new, 方法: POST
2026-04-06 21:56:55.894 | ERROR    | app.agents.case_generator_agent:generate_case:157 | 案件生成失败: %s
2026-04-06 21:56:55.895 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 案件生成失败: Connection error., 路径: /api/v1/game/new, 方法: POST
2026-04-06 21:57:45.006 | ERROR    | app.agents.case_generator_agent:generate_case:157 | 案件生成失败: %s
2026-04-06 21:57:45.008 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 案件生成失败: Connection error., 路径: /api/v1/game/new, 方法: POST
2026-04-06 21:57:45.203 | ERROR    | app.agents.case_generator_agent:generate_case:157 | 案件生成失败: %s
2026-04-06 21:57:45.204 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 案件生成失败: Connection error., 路径: /api/v1/game/new, 方法: POST
2026-04-06 21:58:06.727 | ERROR    | app.agents.case_generator_agent:generate_case:157 | 案件生成失败: %s
2026-04-06 21:58:06.728 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 案件生成失败: Connection error., 路径: /api/v1/game/new, 方法: POST
2026-04-06 21:58:06.789 | ERROR    | app.agents.case_generator_agent:generate_case:157 | 案件生成失败: %s
2026-04-06 21:58:06.790 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 案件生成失败: Connection error., 路径: /api/v1/game/new, 方法: POST
